"","state","pred_type","GFS","NWS","pred_diff"
"1","Alabama","max_diff",4.01641389432485,2.53521734440729,1.48119654991756
"2","Alabama","min_diff",2.54503424657534,3.3886312156186,-0.843596969043253
"3","Alabama","precip_correct",0.314285714285714,0.700032358968828,-0.385746644683113
"4","Alaska","max_diff",3.8480449657869,3.49236269093273,0.355682274854175
"5","Alaska","min_diff",2.83648582600195,3.53038674033149,-0.693900914329537
"6","Alaska","precip_correct",0.241348973607038,0.68020799480013,-0.438859021193092
"7","Arizona","max_diff",3.84261702335581,2.40150780829295,1.44110921506286
"8","Arizona","min_diff",2.60187628261507,3.54668820678514,-0.944811924170069
"9","Arizona","precip_correct",0.267467995700186,0.776090468497577,-0.508622472797391
"10","Arkansas","max_diff",5.105216622458,3.19278283485046,1.91243378760755
"11","Arkansas","min_diff",2.75862068965517,3.65279583875163,-0.894175149096453
"12","Arkansas","precip_correct",0.257294429708223,0.676202860858257,-0.418908431150035
"13","California","max_diff",3.76919761387538,3.0696929849637,0.699504628911688
"14","California","min_diff",2.10095772559567,2.73180492824881,-0.630847202653145
"15","California","precip_correct",0.180097238026275,0.872048482076496,-0.691951244050221
"16","Colorado","max_diff",6.27813841482567,3.66920731707317,2.6089310977525
"17","Colorado","min_diff",3.23242766900499,3.77580574912892,-0.543378080123929
"18","Colorado","precip_correct",0.2495026698775,0.684668989547038,-0.435166319669539
"19","Connecticut","max_diff",4.89301075268817,2.92651343476853,1.96649731791964
"20","Connecticut","min_diff",3.55564516129032,4.78536743282616,-1.22972227153583
"21","Connecticut","precip_correct",0.23049853372434,0.658789252185173,-0.428290718460833
"22","Delaware","max_diff",6.02569179622568,3.04489664082687,2.9807951553988
"23","Delaware","min_diff",2.52627847853721,4.40503875968992,-1.87876028115272
"24","Delaware","precip_correct",0.309181578175418,0.708656330749354,-0.399474752573936
"25","Florida","max_diff",2.66877381999414,2.47488695090439,0.193886869089744
"26","Florida","min_diff",1.94534838268347,2.86434108527132,-0.918992702587843
"27","Florida","precip_correct",0.406259161536206,0.648175064599483,-0.241915903063277
"28","Georgia","max_diff",4.32247385908336,2.64468153895894,1.67779232012442
"29","Georgia","min_diff",2.24903498485293,3.62027158098933,-1.3712365961364
"30","Georgia","precip_correct",0.352242744063325,0.714031684448755,-0.361788940385431
"31","Hawaii","max_diff",1.60411776212833,2.12044270833333,-0.516324946205008
"32","Hawaii","min_diff",1.53386639280125,2.7294921875,-1.19562579469875
"33","Hawaii","precip_correct",0.439553990610329,0.474283854166667,-0.0347298635563381
"34","Idaho","max_diff",5.22925959483319,3.39943537311155,1.82982422172164
"35","Idaho","min_diff",3.03999976767958,4.29818403784526,-1.25818427016568
"36","Idaho","precip_correct",0.372804572065793,0.724248435830917,-0.351443863765124
"37","Illinois","max_diff",5.92776065365233,4.06089484735907,1.86686580629326
"38","Illinois","min_diff",3.12099417779735,3.92876756582135,-0.807773388024005
"39","Illinois","precip_correct",0.453104359313078,0.704409626877726,-0.251305267564648
"40","Indiana","max_diff",5.79183823529412,2.9,2.89183823529412
"41","Indiana","min_diff",2.98789215686275,4.54563106796116,-1.55773891109842
"42","Indiana","precip_correct",0.446764705882353,0.726537216828479,-0.279772510946126
"43","Iowa","max_diff",5.92671212787799,3.35147795186561,2.57523417601238
"44","Iowa","min_diff",3.05720535757931,3.98691649168147,-0.929711134102161
"45","Iowa","precip_correct",0.42792198269541,0.716362461637861,-0.288440478942452
"46","Kansas","max_diff",6.93096116027532,3.26866157098715,3.66229958928817
"47","Kansas","min_diff",3.12721238938053,4.19775573263945,-1.07054334325892
"48","Kansas","precip_correct",0.243362831858407,0.719303951862091,-0.475941120003684
"49","Kentucky","max_diff",5.55324821446042,3.35564177174264,2.19760644271778
"50","Kentucky","min_diff",2.75821837393601,4.42806336889751,-1.6698449949615
"51","Kentucky","precip_correct",0.47255650132081,0.749110895570643,-0.276554394249833
"52","Louisiana","max_diff",4.4453561966441,2.88865443921441,1.55670175742968
"53","Louisiana","min_diff",3.1513958394662,3.53611426716442,-0.384718427698226
"54","Louisiana","precip_correct",0.331027377097439,0.702645674403506,-0.371618297306067
"55","Maine","max_diff",5.87995865734816,3.80622424636738,2.07373441098078
"56","Maine","min_diff",3.49415953013748,5.08902624159618,-1.5948667114587
"57","Maine","precip_correct",0.410867211339699,0.743981782693559,-0.33311457135386
"58","Maryland","max_diff",5.69144144144144,3.24045307443366,2.45098836700778
"59","Maryland","min_diff",2.82099490795143,4.40453074433657,-1.58353583638514
"60","Maryland","precip_correct",0.277027027027027,0.69126213592233,-0.414235108895303
"61","Massachusetts","max_diff",6.0649630391149,3.14601841382652,2.91894462528837
"62","Massachusetts","min_diff",3.22001517599256,5.09691487643353,-1.87689970044097
"63","Massachusetts","precip_correct",0.367161110295198,0.720239056695203,-0.353077946400005
"64","Michigan","max_diff",5.57213358131036,3.14448874043745,2.42764484087291
"65","Michigan","min_diff",3.08315387627251,4.4426247171641,-1.35947084089159
"66","Michigan","precip_correct",0.456245105716523,0.725245124447797,-0.269000018731273
"67","Minnesota","max_diff",6.00876742479824,3.31667475335598,2.69209267144226
"68","Minnesota","min_diff",3.20546588407924,3.90328319585962,-0.697817311780378
"69","Minnesota","precip_correct",0.488628026412326,0.689632864305353,-0.201004837893028
"70","Mississippi","max_diff",4.6617287572113,2.76356589147287,1.89816286573844
"71","Mississippi","min_diff",2.49447540823311,3.25484496124031,-0.760369553007202
"72","Mississippi","precip_correct",0.306248166617776,0.696382428940568,-0.390134262322792
